Title,Location,Price,Rooms,Bathrooms,Size
FREE HOLD!! Own your Town House at Wadi Zaha in Sultan Haitham City,"Sultan Haitham City, Muscat•","OMR 176,000Freehold",3,5,220 SQM
Fully Furnished 2BHK Apartment For Sale in Lagoon – Al Mouj FSA56,"The Wave (Almouj), Muscat•","OMR 137,000Freehold",2,2,126 SQM
Free Hold!! 95 sqm 1-Bedroom apartment for sale in Muscat Hills FSA45,"Muscat Hills, Muscat•","OMR 63,000Freehold",1,2,95 SQM
FREE HOLD!! Own a Studio at Yenaier in Sultan Haitham City,"Sultan Haitham City, Muscat•","OMR 46,627Freehold",Studio,1,75 SQM
Amazing 2BHK Corner Flat For Sale  in Muscat Hills FSA12,"Muscat Hills, Muscat•","OMR 76,000Freehold",2,3,118 SQM
Free Hold!! Own Your Fully Managed Holiday Home in AIDA,"Yiti, Muscat•","OMR 260,000Freehold",3,3,125 SQM
FREE HOLD!! Book your 2BHK apartment now in Wadi Zaha - SHC,"Sultan Haitham City, Muscat•","OMR 70,000Freehold",2,3,110 SQM
"1BHK Apartment FOR SALE in The BLV Tower, Muscat Hills","Muscat Hills, Muscat•","OMR 63,800Freehold",1,1,100 SQM
Reduced Price!!! 2BHK Apartment with Pool View in Muscat Hills FSA43,"Muscat Hills, Muscat•","OMR 70,000Freehold",2,2,100 SQM
شقة للبيع في بناية شمس بوشر-Apartment for Sale (Shams Bousher Building,"Bosher, Muscat•","OMR 52,000Non Freehold",2,2,112.28 SQM
"For Sale – One-Bedroom Apartment in Marsa Garden, Al Mouj Muscat","The Wave (Almouj), Muscat•","OMR 110,000Freehold",1,1,95 SQM
فيلا راقية للبيع في مرتفعات الأنصب Luxury vila for sale inAnsab hights,"Ansab, Muscat•","OMR 225,000Non Freehold",7,9,704 SQM
فلة مزرعة للبيع في منتجع السيفة,"Al Sifah, Muscat•","OMR 245,000Freehold",4,5,"1,299 SQM"
تملك شقتك في مسقط بالاقساط علي 100 شهر بدون فوائد,"Al Maabilah, Muscat•","OMR 25,000Non Freehold",2,2,100 SQM
تملك شقتك بقسط شهري 200 ريال ف مسقط,"Al Maabilah, Muscat•","OMR 25,000Non Freehold",2,2,100 SQM
3 Bedrooms Villa For Sale with Swimming Pool,"The Wave (Almouj), Muscat•","OMR 320,000Freehold",3,3,269 SQM
محل للبيع تجاري في موقع مميز وفرصة استثمارية عالية وفريدة,"Ghala, Muscat•","OMR 36,655Negotiable",44.7 SQM,N/A,N/A
مكتب للبيع في موقع حيوي ومميز وبالقرب من كل الخدمات,"Ghala, Muscat•","OMR 48,500Negotiable",97.35 SQM,N/A,N/A
محل للبيع تجاري في موقع استراتيجي وعائد استثماري عالي,"Al Ghubrah, Muscat•","OMR 28,000Negotiable",28.76 SQM,N/A,N/A
Serviced 1 BHK Apartment | 3 Years Payment Plan | La Vie Residences,"Muscat - Other, Muscat•","OMR 124,031Freehold",1,2,105 SQM
Fully Serviced and Furnished Studio Apartment for Sale in La Vie,"Muscat Hills, Muscat•","OMR 65,100Freehold",Studio,1,64 SQM
1 BR Appartment | Sustainable City Yiti | شقة بغرفة نوم واحدة| ROI: 9%,"Yiti, Muscat•","OMR 79,000Freehold",1,2,79 SQM
شقة بغرفتي نوم 2 | الدفع بالتقسيط  في مدينة يتي المستدامة,"Yiti, Muscat•","OMR 127,931Freehold",2,3,118 SQM
FREE HOLD!! Amazing 2+1 Bedroom Apartment For Sale in AL Mouj,"The Wave (Almouj), Muscat•","OMR 120,000Freehold",2,2,127 SQM
ADS702***Brand New 1BHK Apartment for Sale – Prime Opportunity!,"Bosher, Muscat•","OMR 33,000Non Freehold",1,2,80 SQM
ADS701***Brand New 2BHK Apartment for Sale – Prime Opportunity!,"Bosher, Muscat•","OMR 43,000Non Freehold",2,3,110 SQM
ADS302**للبيع فيلا تشطيبات راقية في الخوض السابعة,"Al Khoud, Muscat•","OMR 135,000Non Freehold",7,8,484 SQM
Furnished Farm for Sale in Jebel Sifah with beautiful views,"Al Sifah, Muscat•","OMR 205,000Freehold",3,3,177 SQM
Own Your Apartment Now in Sultan Haitham City,"Sultan Haitham City, Muscat•","OMR 54,395Freehold",1,1,67 SQM
"تاون هاوس للبيع, مدينة السلطان هيثم | Townhouse Sultan Haitham City","Sultan Haitham City, Muscat•","OMR 111,700Freehold",3,3,194 SQM
"Best Price 1 Bedroom Freehold Apartment for Sale Jebel Sifah, Muscat","Al Sifah, Muscat•","OMR 50,000Negotiable",1,1,61 SQM
"Zunairah Villas – Redefining Ultra-Luxury Living in Al Mouj, Muscat","The Wave (Almouj), Muscat•","OMR 4,000,000Freehold",7,7,"2,100 SQM"
Luxury Lakefront Villa with Private Pool – Al Mouj,"The Wave (Almouj), Muscat•","OMR 530,000Freehold",5,5,534 SQM
"2-Bedroom Apartment for Sale – Almeria North, Al Mouj Muscat","The Wave (Almouj), Muscat•","OMR 160,000Freehold",2,2,150 SQM
"Luxury 1BR + Study with Sea View – Juman One, Al Mouj","The Wave (Almouj), Muscat•","OMR 120,000Freehold",1,1,104 SQM
استخدم خدماتنا تساعدك في بيع عقارك/Sell ​​your property/free marketing,"The Wave (Almouj), Muscat•","OMR 1,111,111Negotiable",1,1,10 SQM
Free Hold!! Own Your 1-Bedroom Apartment in Wadi Zaha - SHC,"Al Seeb, Muscat•","OMR 58,000Freehold",1,2,75 SQM
FREE HOLD!! Own your standalone villa in Wadi Zaha - SHC,"Sultan Haitham City, Muscat•","OMR 340,000Freehold",4,6,388 SQM
Spacious 4-Bedroom Farmhouse for Sale in Jebel Sifah,"Al Sifah, Muscat•","OMR 300,000Freehold",4,4,"1,420 SQM"
"installments for 120 months,own your apmnt, office or shop,No upfront","Ghala, Muscat•","OMR 35,000Non Freehold",1,2,86 SQM
Wonderful 1 BHK Apartment Sustainable City | Installment,"Yiti, Muscat•","OMR 85,000Freehold",1,2,72 SQM
"تملك على البحر من 83,000 ريال (تملك حر) Own by the Beach","The Wave (Almouj), Muscat•","OMR 83,000Freehold",1,1,70 SQM
For Sale: Prime Land in Ghala,"Ghala, Muscat•","OMR 3,000,000","16,300 SQM",N/A,N/A
Distress Sale Freehold 1 BHK with Residence Visa in Duqum for Just 22K,"Al Duqum, Al Wusta•","OMR 24,000Freehold",1,2,40 SQM
توين فيلا للبيع في حي الكوثر الخوض,"Al Khoud, Muscat•","OMR 118,000Non Freehold",6,7,300 SQM
منزل للبيع في المعبيلة الجنوبية حي العز,"Al Maabilah, Muscat•","OMR 68,000Non Freehold",4,4,226 SQM
Amazing 2+1BHK FOR SALE in AL Mouj – Luban FSA24,"The Wave (Almouj), Muscat•","OMR 120,000Freehold",2,2,127 SQM
Twin Villa for Sale Soor Al Hadid,"Al Seeb, Muscat•","OMR 87,000Freehold",5,7,378 SQM
Rare Opportunity – Marina View Apartment in Al Mouj at a Great Price,"The Wave (Almouj), Muscat•","OMR 230,000Freehold",2,2,157 SQM
شقة مؤثثة بالكامل للبيع بتصميم عصري VIP في المعبيلة 5 / 1 خلف عرب سويت,"Al Maabilah, Muscat•","OMR 30,000Non Freehold",2,2,101 SQM
شقة مؤثثة جزئيًا للبيع في المعبيلة قريب المدرسة الهندية على شارع النور,"Al Maabilah, Muscat•","OMR 36,500Non Freehold",3,3,126 SQM
منزل للبيع في المعبيلة الصناعية في حي العز خلف جامع السلطان تيمور,"Al Maabilah, Muscat•","OMR 55,000Non Freehold",2,3,531 SQM
